"HolderAddress","Balance","PendingBalanceUpdate"
"0x679a8112773f62c3e7af6208e06355901e3bbc15","100000","No"
"0x6ce32ef81eb61d7b46739e47a0989fc4c39bc7e3","25","No"
"0x6cf915efb73ec6c693ead8a154aa9eb62a668c9d","2800","No"
"0x6deceb83cefb3886c3a623a772cba58891450a09","4400","No"
"0x6e01e3dc500abb7a3bb542e372612bd44be6ebcb","3","No"
"0x6f512e9d126c7b2a3df1a7b1974151b459f64bf9","300","No"
"0x6f7150a4c948f2a5f3d005df9d4d1c95f196647a","12877","No"
"0x733c2c45b854327c98bedb9130c118f0aa18e334","4000","No"
"0x7504a9c5f8224d10ca520a6a796a617681748d17","282.38","No"
"0x769c28802bccb55d9f9f6e42e63e857296194ef6","10000","No"
"0x770f050a8c87b55f379d7132d8a751ca3ea38dd6","6700","No"
"0x774e95473ad5f5a697ade2afb2d24e5b0358899a","7500","No"
"0x77ddd91079dbccc21c759621aa48be5f20b066b1","780","No"
"0x78e56bad16143e498000a9b96b120cb95bab6d16","2000000","No"
"0x7901859fc06a7c3806b0316c268bb93d82bda180","1550","No"
"0x79c003bc3062f6d7b956c80dd96444d0e1d2cdc9","16900","No"
"0x7b4b65e6a4cbbc1c7fa60fd166a112584e451924","27000","No"
"0x7bd0976bec225d1852f0e6e2465a91ea07d0ba80","13400","No"
"0x7ffda09ddc33cedc60158c5347c02dc93dca6bb0","5000","No"
"0x809e32fb4edfeef771a2262935b33a3bd3beb53b","190000","No"
"0x81036acab4da3d559fe11299d48d43b3d31551a7","342555.103133513","No"
"0x85921ec3c078b5b10222d4f078e4977e47e65610","242333","No"
"0x87cb69bd27bceae04d7fe38c9bc94384b0ae49f3","80000","No"
"0x8a399ee7775b53ffdca9af557d8ee11a9e105135","55128.1638813426","No"
"0x8a858a1f316d18f882cde20af3534cb1db0e4d80","200000","No"
"0x8d3a8429d83499cb083f820ee8eeee7a95083349","1000","No"
"0x8de7f0c4fa29e01380d0ae4ee553fcfa9c62399d","13236","No"
"0x8dfe66c682ce92ab15e327317b00b2dea7c80575","3000","No"
"0x8ee1c45bb1bef0021c6a3c6d45e8c043b62dc05e","50000","No"
"0x8f4911d2d6f81ec8e41552c41b71af528e959f57","20000","No"
"0x9692e9bb461b417f66ef65bfea815ce59a01a26e","4000","No"
"0x9695cccdb8b78da890ae43c85a13f924ac8fbe8c","1000","No"
"0x96fbfd0cfb0ae1c65b479a3d21d5982dd4eaa2fa","47456.0639904095","No"
"0x98aa5af6c15d91e3cdc0abd0747e8728c43baa32","12500","No"
"0x99383f9e6b64d41f8a349eed6af75a99ba1025da","33000","No"
"0x9992751b0cb398767eb06947e50e454493aa4b9d","2000000","No"
"0x9a5aaf145d11dd36747ca3c14422d9714a3de366","8900","No"
"0x9ad143bc5d3bfa03a7a60bc4efb71eadc8e62544","2500","No"
"0x9b61196916286e40595fad5a348f794266c457c1","1","No"
"0x9c540e794b259131011e462595e9661dd9bfbb92","408000","No"
"0x9dc189070dc1da136fef9aa924d47421c15ed285","4000","No"
"0x9e740e3f5c789e427fccc54fe762b6599722ea68","20000","No"
"0x9efaebc4b83c574cdc40479dc24d0dcca1b4a216","9683050","No"
"0x9fffd867a138a1b3502ca1714fa7eb489bd2d086","134000","No"
"0xa001db106c82157e782c465b05c7916b05505a24","10000","No"
"0xa04c016c282cb709ad30bc68fe5837e513c5df2c","664.76","No"
"0xa34147ce6dfcf516b8458caf254819b604695632","200000","No"
"0xa3a7c0402e9955b238b1a0bd8f2148a3f7ab2ba7","22200","No"
"0xa45a57fe07e2659b5216b57b0f237e4bb86b8f79","118000","No"
"0xa5cf106120264ac35c0bdb44317200aa09ffa844","1","No"
"0xa78a0ef006d5d11c32ab1d969fe40c9e146ce5fc","3750","No"
"0xa80c690042dbe5dac158dc3d5a4c04524d238a43","2222222.24","No"
"0xa99269bd9d03615282c676b2cb78837788262a6f","20000","No"
"0xa9d2283929c42566ef9b11a83547e8425d028f6c","20000","No"
"0xaa224de6953ffc60ad368d341136fdcc94a01974","7540","No"
"0xab021428d80f7c106f54716955d81a7983b28af5","4600","No"
"0xaf8d8fc27094cfc2e1d6b4aade0cbcb34439aabe","1000","No"
"0xb065cf9b4806fba4405783163aac650f298a958d","1566295","No"
"0xb1a6d110b0eefdbd2a0effdecbcb59f2515a5bd3","135000","No"
"0xb2dc1610f021e2a92d531fd6e60f1e01b372ec36","1000","No"
"0xb3e1b59953fbb37b67ccd871239bddae0aa20474","1878.59774762239","No"
"0xb3fce2b93375ce5725c8b60d3618e9bd23b20de7","600","No"
"0xb6c1fc433e9507315b0637234e93cd51a03adefb","10000","No"
"0xb7df00a40b33d20f0d8df65420559279133c273e","50567","No"
"0xbafee4e0c76c113503247f3eb2efec495d8e1760","28572","No"
"0xbe3ed928ed472ea3f43aee60e14b7ed0737cfc70","1971427","No"
"0xc0b1d2abeb68da7c416f5bab8dc58ebdc2fb7100","28573","No"
"0xc172d1eff372ed640cddbc75e37b72a065aa8895","4256.76832143657","No"
"0xc1750e4ca31e156f7093ff29cd1fc79ba077ddee","11670","No"
"0xc33bd9fa6ed2f1fec77d3bb501c8c4326c980b6e","8000","No"
"0xc3a03ba0d7631d44be314766bf39aed55482075c","10000000","No"
"0xc4bdb3f8f6f6e428c16d6b3e288a289df85ce3e0","5000010","No"
"0xc6ac93d44e53f52df677a54db1aef0cc409acc16","6250","No"
"0xc6b13149c685c598f6e1207744815ff8c999887c","677","No"
"0xd148add3820e1cc83ebcbfc6d1e5d6553f0a8b48","2276971.68","No"
"0xd1b54e3f038c533bcf0b79cce10ef29f1c92c28e","333334","No"
"0xd21906ce4d6b635d8709d2bb73a0c3b1adc27368","7000","No"
"0xd2574eca82f7335e768656d2194659c1898fea6c","1000000","No"
"0xd2a0c07cd2481126fc30b43698105555a1c1a759","25500","No"
"0xd2ded6a1d3cc2956feab33b3e83e9c7afd85be02","55840","No"
"0xd31eba07b15deda2daf5d9eb246746b0b0978efe","320","No"
"0xd3669f1a22f8bd2b9ef9955d76626cc967ca1fae","1","No"
"0xd39050889117ffb23cff41f9c720a0ed45b40df6","200001","No"
"0xd5723418c8fdaf102b8f1b9acbdbf9485481090d","20000","No"
"0xd59a04d8f32d3e07a6b4396f1622bf1825d6ea03","110000","No"
"0xd81d22b7cb2adbf7daacdbe6c0b821daca0e965b","8760","No"
"0xd9346f413b899fa4a42e7cf115c43ec14dda2620","10000010","No"
"0xda4262b7f91f54bc28d58be95b3122971eb4f5d7","709.718250484556","No"
"0xda56f94f1000905384e9509ca4c7f620b6cfec7a","500010","No"
"0xdbb1970b1e354eab5e13b26b19b8b445706732b3","1","No"
"0xde4a3b3aa4366b90be5308f9b1d4336d886b05cf","500","No"
"0xe17dd745aeb6a22ceaa3b5919fd8ebc74ee60a98","229000.83","No"
"0xe19dc6e23301521dcbf99948e99b94556155eaa1","58000","No"
"0xe2231dca7f43c9a3d3dfab02b9bc8099417ccd25","20000","No"
"0xe421b5c6680bb06f25e0f8dd138c96913d2c1599","1","No"
"0xe62a91c200a9ef44b4027d157dc66d8d76504afb","5000","No"
"0xe6bcc69cef6f7773d10c93cf2f50858510a42b55","13500","No"
"0xe709743e2c5d28dec76373529879fe45ff6b226c","25000","No"
"0xe71f0b7bec116feeb6cc65a225822b08fd414367","12500","No"
"0xe8d77bb2df30111567abc287b85a23c97f5b61b0","25500","No"
"0xecf5fa1e870897b58d3e6575dcc16dae76a27f7d","27000","No"
"0xef59a6da186aac840ad4bf211cc5cbf8f8ea957d","100","No"
"0xefc96bec1ab32bf3a7f6dbb755310ebed1e24f09","2400","No"
"0xf048ce8dbb7a161d697411a9df211c7737a5b30e","80000","No"
"0xf07e2459491bfc37fa1d4a17cdbd86581466ad6a","9250","No"
"0xf348743246cd220d0ba18cdf49eff5b231b0be4f","20000","No"
"0xf4a3bd65549a0e52c4d6300e3e68e4033051b251","100","No"
"0xf5315fb8e58714eda39a93937ff0fb780c10df10","1000","No"
"0xf57f9c795911ae1c34bea768f6c0b475b3801eaf","238095","No"
"0xf5b0a80df67b04508b195962e0f423b4ed2e14a3","200","No"
"0xf7857017afc03028730c5e2b5907dbd4648c345c","55000","No"
"0xf7eda499864e9206e4b3d84ab3404e81b7ab68ea","32359.7880879485","No"
"0xf8e0a439c1b9cfe965fc8439af2bf7d816d9321f","5000","No"
"0xfe5dd1531da3374a11559ca54ff800b65e6e5bdb","5000","No"
